L_ID,year,month,Source_main,Source_Sub
ABC0013829,2022,6,NULL,NULL
ABC0013829,2022,7,NULL,NULL
ABC0013832,2021,6,196661.88,206487.6
ABC0013832,2021,7,415709.985,435589.62
ABC0013832,2021,8,344084.625,361137.27
ABC0013832,2021,9,297155.4,312780.06
ABC0013832,2021,10,322966.44,339035.085
ABC0013832,2021,11,296530.635,310978.005
ABC0013832,2021,12,328389.705,343940.28
ABC0013832,2022,1,228006.33,240451.59
ABC0013832,2022,2,215972.265,226037.46
ABC0013832,2022,3,358203.225,375283.095
ABC0013832,2022,4,238459.41,250601.16
ABC0013832,2022,5,323818.68,338288.985
ABC0013832,2022,6,272505.825,285584.985
ABC0013832,2022,7,NULL,227133.69
ABC0013833,2021,5,323801.91,339991.875
ABC0013833,2021,6,246521.25,258847.5
ABC0013833,2021,7,344396.73,360743.4
ABC0013833,2021,8,242302.245,254417.25
ABC0013833,2021,9,208480.905,218904.75
ABC0013833,2021,10,345777.24,363066.15
ABC0013833,2021,11,484865.325,508748.625
ABC0013833,2021,12,465665.685,489173.925
ABC0013833,2022,1,381600.375,400689.375
ABC0013833,2022,2,300442.38,315464.25
ABC0013833,2022,3,341970.84,358281.75
ABC0013833,2022,4,319421.1,335391.975
ABC0013833,2022,5,386542.23,407429.4
ABC0013833,2022,6,299704.305,314689.5
ABC0013833,2022,7,NULL,306849.375
ABC0013841,2021,5,NULL,NULL
ABC0013841,2021,6,NULL,NULL
ABC0013841,2021,7,NULL,NULL
ABC0013841,2021,8,NULL,NULL
ABC0013841,2021,9,NULL,NULL
ABC0013841,2021,10,NULL,NULL
ABC0013841,2021,11,NULL,NULL
ABC0013841,2021,12,NULL,NULL
ABC0013841,2022,1,NULL,NULL
ABC0013841,2022,2,NULL,NULL
ABC0013841,2022,3,NULL,NULL
ABC0013841,2022,4,NULL,NULL
ABC0013841,2022,5,NULL,NULL
ABC0013841,2022,6,NULL,NULL
ABC0013841,2022,7,NULL,NULL
ABC0013858,2021,8,278688.15,11828.475
ABC0013858,2021,9,423943.575,241971.225
ABC0013858,2021,10,506991.99,532349.55
ABC0013858,2021,11,376731.705,395575.05
ABC0013858,2021,12,419157.18,483501.225
ABC0013858,2022,1,408218.55,441225.75
ABC0013858,2022,2,328206.42,344622.075
ABC0013858,2022,3,343018.62,375782.925
ABC0013858,2022,4,272207.055,293077.2
ABC0013858,2022,5,437827.35,459725.475
ABC0013858,2022,6,NULL,336416.175
